GeoCode,Boro_Location,GeoCodeLabel,Number_of_Motor_Vehicle_Collisions,Vehicles_or_Motorists_Involved,Injury_or_Fatal_Collisions,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Bicycle
048,Bronx 48th Precinct,48th Precinct,226,450,51,28,0,34,0,3,0,17,0,5
049,Bronx 49th Precinct,49th Precinct,221,447,59,43,0,26,1,2,0,15,0,2
050,Bronx 50th Precinct,50th Precinct,145,288,28,20,0,16,0,2,0,6,0,3
052,Bronx 52nd Precinct,52nd Precinct,263,520,58,35,0,23,0,5,0,15,0,6
060,Brooklyn 60th Precinct,60th Precinct,209,398,48,22,0,23,0,4,0,15,0,4
061,Brooklyn 61st Precinct,61st Precinct,261,509,47,20,0,11,0,10,0,15,0,12
062,Brooklyn 62nd Precinct,62nd Precinct,255,514,47,28,0,19,0,7,0,13,0,7
063,Brooklyn 63rd Precinct,63rd Precinct,214,437,32,25,0,13,0,4,0,3,0,7
066,Brooklyn 66th Precinct,66th Precinct,221,421,50,15,0,21,0,14,1,12,0,16
067,Brooklyn 67th Precinct,67th Precinct,366,740,100,65,0,73,0,7,0,22,0,8
068,Brooklyn 68th Precinct,68th Precinct,258,517,63,37,0,34,0,8,0,11,0,8
069,Brooklyn 69th Precinct,69th Precinct,190,377,44,35,0,22,0,1,0,7,0,3
070,Brooklyn 70th Precinct,70th Precinct,256,501,57,28,0,24,0,6,0,15,0,8
071,Brooklyn 71st Precinct,71st Precinct,194,396,49,34,0,25,0,6,0,10,0,7
072,Brooklyn 72nd Precinct,72nd Precinct,267,526,59,34,0,29,0,9,0,10,0,10
073,Brooklyn 73rd Precinct,73rd Precinct,206,395,53,29,0,18,0,6,0,19,0,7
075,Brooklyn 75th Precinct,75th Precinct,513,1025,130,79,0,67,0,11,0,26,0,14
076,Brooklyn 76th Precinct,76th Precinct,149,307,20,15,0,11,0,3,0,4,0,4
077,Brooklyn 77th Precinct,77th Precinct,197,394,52,32,0,37,0,9,0,7,0,12
078,Brooklyn 78th Precinct,78th Precinct,150,297,27,14,0,13,0,2,0,5,0,3
079,Brooklyn 79th Precinct,79th Precinct,201,388,46,24,0,16,0,12,0,9,0,17
081,Brooklyn 81st Precinct,81st Precinct,116,223,27,12,0,7,0,10,0,7,0,10
083,Brooklyn 83rd Precinct,83rd Precinct,220,433,56,34,1,31,0,15,0,5,1,18
084,Brooklyn 84th Precinct,84th Precinct,271,537,33,20,0,9,0,9,0,5,0,12
088,Brooklyn 88th Precinct,88th Precinct,137,257,42,26,0,11,0,12,0,4,0,14
090,Brooklyn 90th Precinct,90th Precinct,300,567,59,32,1,17,0,16,0,10,0,22
094,Brooklyn 94th Precinct,94th Precinct,216,421,33,19,0,13,0,7,0,7,0,12
100,Queens 100th Precinct,100th Precinct,83,152,22,11,0,1,0,3,0,7,0,3
101,Queens 101st Precinct,101st Precinct,99,192,20,15,0,9,0,1,0,3,1,2
102,Queens 102nd Precinct,102nd Precinct,327,659,70,36,0,20,0,12,0,13,0,12
103,Queens 103rd Precinct,103rd Precinct,294,592,71,47,0,34,0,4,0,14,0,5
104,Queens 104th Precinct,104th Precinct,351,692,79,58,2,34,0,8,0,13,0,9
105,Queens 105th Precinct,105th Precinct,585,1209,154,141,0,89,0,5,0,14,0,5
